bug_id,summary,description,severity_raw,severity,source,created_at,closed_at
synthetic#44,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2024-05-15T15:03:27.066165,2024-06-23T15:03:27.066165
synthetic#45,application crashes immediately on launch,application crashes immediately on launch,blocker,High,synthetic_severity,2023-12-18T15:03:27.066175,2023-12-24T15:03:27.066175
synthetic#46,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2022-11-21T15:03:27.066185,2022-12-11T15:03:27.066185
synthetic#47,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-03-05T15:03:27.066195,2025-03-31T15:03:27.066195
synthetic#48,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2024-01-17T15:03:27.066205,2024-02-29T15:03:27.066205
synthetic#49,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2023-10-18T15:03:27.066218,2023-12-19T15:03:27.066218
synthetic#50,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2024-05-02T15:03:27.066241,2024-05-24T15:03:27.066241
synthetic#51,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2023-10-11T15:03:27.066251,2023-12-11T15:03:27.066251
synthetic#52,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2023-12-03T15:03:27.066261,2024-02-23T15:03:27.066261
synthetic#53,documentation missing examples,documentation missing examples,trivial,Low,synthetic_severity,2023-03-07T15:03:27.066271,2023-06-02T15:03:27.066271
synthetic#54,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2023-07-12T15:03:27.066282,2023-09-16T15:03:27.066282
synthetic#55,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-10-31T15:03:27.066291,2025-12-13T15:03:27.066291
synthetic#56,system freeze during execution,system freeze during execution,critical,High,synthetic_severity,2024-09-16T15:03:27.066301,2024-11-02T15:03:27.066301
synthetic#57,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2024-02-27T15:03:27.066311,2024-03-30T15:03:27.066311
synthetic#58,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2025-01-03T15:03:27.066322,2025-03-25T15:03:27.066322
synthetic#59,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2025-08-18T15:03:27.066333,2025-08-25T15:03:27.066333
synthetic#60,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-05-29T15:03:27.066343,2025-08-15T15:03:27.066343
synthetic#61,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2025-11-17T15:03:27.066354,2025-12-30T15:03:27.066354
synthetic#62,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2025-07-06T15:03:27.066366,2025-08-22T15:03:27.066366
synthetic#63,crash when accessing memory buffer,crash when accessing memory buffer,critical,High,synthetic_severity,2025-03-06T15:03:27.066378,2025-05-10T15:03:27.066378
synthetic#64,typo in documentation,typo in documentation,minor,Low,synthetic_severity,2024-12-27T15:03:27.066389,2025-01-30T15:03:27.066389
synthetic#65,crash when accessing memory buffer,crash when accessing memory buffer,critical,High,synthetic_severity,2024-01-15T15:03:27.066399,2024-04-09T15:03:27.066399
synthetic#66,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2024-01-10T15:03:27.066411,2024-01-20T15:03:27.066411
synthetic#67,typo in documentation,typo in documentation,minor,Low,synthetic_severity,2024-02-12T15:03:27.066421,2024-03-28T15:03:27.066421
synthetic#68,ui alignment issue in settings dialog,ui alignment issue in settings dialog,minor,Low,synthetic_severity,2024-04-03T15:03:27.066431,2024-05-16T15:03:27.066431
synthetic#69,blocking production deployment,blocking production deployment,blocker,High,synthetic_severity,2024-01-17T15:03:27.066442,2024-04-15T15:03:27.066442
synthetic#70,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2024-01-02T15:03:27.066452,2024-03-06T15:03:27.066452
synthetic#71,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2025-07-15T15:03:27.066463,2025-08-20T15:03:27.066463
synthetic#72,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-10-11T15:03:27.066473,2026-01-05T15:03:27.066473
synthetic#73,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2023-03-30T15:03:27.066484,2023-06-20T15:03:27.066484
synthetic#74,outage impacting multiple users,outage impacting multiple users,major,High,synthetic_severity,2025-03-06T15:03:27.066502,2025-03-28T15:03:27.066502
synthetic#75,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2024-05-28T15:03:27.066523,2024-06-04T15:03:27.066523
synthetic#76,network failure causing cluster downtime,network failure causing cluster downtime,critical,High,synthetic_severity,2025-08-02T15:03:27.066534,2025-09-17T15:03:27.066534
synthetic#77,system freeze during execution,system freeze during execution,blocker,High,synthetic_severity,2024-08-27T15:03:27.066545,2024-09-21T15:03:27.066545
synthetic#78,ui alignment issue in settings dialog,ui alignment issue in settings dialog,minor,Low,synthetic_severity,2023-02-22T15:03:27.066557,2023-05-16T15:03:27.066557
synthetic#79,outage impacting multiple users,outage impacting multiple users,critical,High,synthetic_severity,2024-05-31T15:03:27.066568,2024-07-11T15:03:27.066568
synthetic#80,major performance degradation under high load,major performance degradation under high load,critical,High,synthetic_severity,2023-06-14T15:03:27.066579,2023-07-04T15:03:27.066579
synthetic#81,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2024-02-01T15:03:27.066591,2024-02-01T15:03:27.066591
synthetic#82,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2025-08-04T15:03:27.066604,2025-10-20T15:03:27.066604
synthetic#83,documentation missing examples,documentation missing examples,minor,Low,synthetic_severity,2022-11-20T15:03:27.066615,2023-01-22T15:03:27.066615
synthetic#84,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2024-12-26T15:03:27.066627,2025-01-06T15:03:27.066627
synthetic#85,major performance degradation under high load,major performance degradation under high load,critical,High,synthetic_severity,2024-02-26T15:03:27.066638,2024-03-03T15:03:27.066638
synthetic#86,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2024-01-14T15:03:27.066649,2024-04-08T15:03:27.066649
synthetic#87,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2024-03-25T15:03:27.066662,2024-05-21T15:03:27.066662
synthetic#88,typo in documentation,typo in documentation,minor,Low,synthetic_severity,2023-05-28T15:03:27.066673,2023-07-30T15:03:27.066673
synthetic#89,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2024-10-27T15:03:27.066683,2024-10-31T15:03:27.066683
synthetic#90,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2023-03-11T15:03:27.066693,2023-04-25T15:03:27.066693
synthetic#91,application crashes immediately on launch,application crashes immediately on launch,major,High,synthetic_severity,2024-04-04T15:03:27.066703,2024-04-28T15:03:27.066703
synthetic#92,outage impacting multiple users,outage impacting multiple users,major,High,synthetic_severity,2022-12-15T15:03:27.066714,2023-03-01T15:03:27.066714
synthetic#93,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2024-11-03T15:03:27.066724,2024-11-13T15:03:27.066724
synthetic#94,data loss observed when saving file,data loss observed when saving file,blocker,High,synthetic_severity,2024-08-28T15:03:27.066734,2024-09-21T15:03:27.066734
synthetic#95,typo in documentation,typo in documentation,minor,Low,synthetic_severity,2024-10-03T15:03:27.066744,2024-11-19T15:03:27.066744
synthetic#96,minor usability enhancement requested,minor usability enhancement requested,minor,Low,synthetic_severity,2025-06-18T15:03:27.066754,2025-07-04T15:03:27.066754
synthetic#97,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2023-02-05T15:03:27.066764,2023-03-05T15:03:27.066764
synthetic#98,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2024-01-27T15:03:27.066773,2024-02-19T15:03:27.066773
synthetic#99,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2025-04-03T15:03:27.066783,2025-05-17T15:03:27.066783
synthetic#100,data loss observed when saving file,data loss observed when saving file,critical,High,synthetic_severity,2024-11-16T15:03:27.066793,2024-12-01T15:03:27.066793
synthetic#101,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2023-04-18T15:03:27.066803,2023-06-07T15:03:27.066803
synthetic#102,ui alignment issue in settings dialog,ui alignment issue in settings dialog,minor,Low,synthetic_severity,2024-09-14T15:03:27.066816,2024-09-18T15:03:27.066816
synthetic#103,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2024-12-02T15:03:27.066826,2025-01-02T15:03:27.066826
synthetic#104,major performance degradation under high load,major performance degradation under high load,critical,High,synthetic_severity,2023-10-31T15:03:27.066836,2023-12-30T15:03:27.066836
synthetic#105,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2025-08-04T15:03:27.066846,2025-09-15T15:03:27.066846
synthetic#106,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2022-10-21T15:03:27.066856,2022-10-26T15:03:27.066856
synthetic#107,network failure causing cluster downtime,network failure causing cluster downtime,critical,High,synthetic_severity,2024-11-21T15:03:27.066866,2025-02-18T15:03:27.066866
synthetic#108,improvement suggestion added by user,improvement suggestion added by user,minor,Low,synthetic_severity,2025-06-12T15:03:27.066876,2025-07-15T15:03:27.066876
synthetic#109,minor layout bug in window rendering,minor layout bug in window rendering,minor,Low,synthetic_severity,2024-07-30T15:03:27.066886,2024-10-19T15:03:27.066886
synthetic#110,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-10-07T15:03:27.066896,2025-10-30T15:03:27.066896
synthetic#111,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2025-10-04T15:03:27.066906,2025-11-04T15:03:27.066906
synthetic#112,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2023-11-20T15:03:27.066916,2024-01-21T15:03:27.066916
synthetic#113,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2023-12-31T15:03:27.066932,2024-02-02T15:03:27.066932
synthetic#114,crash when accessing memory buffer,crash when accessing memory buffer,major,High,synthetic_severity,2025-07-02T15:03:27.066944,2025-09-11T15:03:27.066944
synthetic#115,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2024-06-22T15:03:27.066954,2024-07-26T15:03:27.066954
synthetic#116,ui alignment issue in settings dialog,ui alignment issue in settings dialog,trivial,Low,synthetic_severity,2022-12-16T15:03:27.066964,2022-12-28T15:03:27.066964
synthetic#117,blocking production deployment,blocking production deployment,critical,High,synthetic_severity,2023-01-17T15:03:27.066974,2023-03-24T15:03:27.066974
synthetic#118,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2024-02-24T15:03:27.066984,2024-03-07T15:03:27.066984
synthetic#119,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2023-11-18T15:03:27.066994,2023-12-14T15:03:27.066994
synthetic#120,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2025-03-22T15:03:27.067004,2025-04-20T15:03:27.067004
synthetic#121,system freeze during execution,system freeze during execution,major,High,synthetic_severity,2023-10-25T15:03:27.067017,2023-11-18T15:03:27.067017
synthetic#122,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2023-03-06T15:03:27.067027,2023-03-30T15:03:27.067027
synthetic#123,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2023-09-20T15:03:27.067037,2023-11-07T15:03:27.067037
synthetic#124,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2025-04-04T15:03:27.067048,2025-04-12T15:03:27.067048
synthetic#125,data loss observed when saving file,data loss observed when saving file,blocker,High,synthetic_severity,2023-05-08T15:03:27.067057,2023-06-02T15:03:27.067057
synthetic#126,data loss observed when saving file,data loss observed when saving file,blocker,High,synthetic_severity,2023-12-09T15:03:27.067067,2024-03-05T15:03:27.067067
synthetic#127,blocking production deployment,blocking production deployment,critical,High,synthetic_severity,2024-05-05T15:03:27.067077,2024-05-08T15:03:27.067077
synthetic#128,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2023-10-03T15:03:27.067087,2023-11-01T15:03:27.067087
synthetic#129,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2023-01-19T15:03:27.067097,2023-03-10T15:03:27.067097
synthetic#130,typo in documentation,typo in documentation,trivial,Low,synthetic_severity,2025-07-17T15:03:27.067108,2025-09-20T15:03:27.067108
synthetic#131,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2024-01-25T15:03:27.067118,2024-03-27T15:03:27.067118
synthetic#132,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2025-09-25T15:03:27.067128,2025-10-23T15:03:27.067128
synthetic#133,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2024-03-27T15:03:27.067138,2024-04-11T15:03:27.067138
synthetic#134,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2023-01-16T15:03:27.067147,2023-01-27T15:03:27.067147
synthetic#135,crash when accessing memory buffer,crash when accessing memory buffer,blocker,High,synthetic_severity,2024-01-09T15:03:27.067157,2024-02-19T15:03:27.067157
synthetic#136,data loss observed when saving file,data loss observed when saving file,critical,High,synthetic_severity,2024-10-10T15:03:27.067168,2024-11-10T15:03:27.067168
synthetic#137,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2023-11-18T15:03:27.067178,2024-01-24T15:03:27.067178
synthetic#138,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2024-12-15T15:03:27.067190,2025-02-20T15:03:27.067190
synthetic#139,minor usability enhancement requested,minor usability enhancement requested,minor,Low,synthetic_severity,2024-03-12T15:03:27.067200,2024-03-29T15:03:27.067200
synthetic#140,minor layout bug in window rendering,minor layout bug in window rendering,minor,Low,synthetic_severity,2024-01-21T15:03:27.067209,2024-02-17T15:03:27.067209
synthetic#141,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2024-04-12T15:03:27.067222,2024-04-27T15:03:27.067222
synthetic#142,crash when accessing memory buffer,crash when accessing memory buffer,major,High,synthetic_severity,2025-08-09T15:03:27.067232,2025-10-25T15:03:27.067232
synthetic#143,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2023-12-09T15:03:27.067241,2024-01-20T15:03:27.067241
synthetic#144,network failure causing cluster downtime,network failure causing cluster downtime,critical,High,synthetic_severity,2023-01-09T15:03:27.067253,2023-02-26T15:03:27.067253
synthetic#145,system freeze during execution,system freeze during execution,critical,High,synthetic_severity,2026-01-19T15:03:27.067264,2026-03-28T15:03:27.067264
synthetic#146,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2026-01-03T15:03:27.067274,2026-03-26T15:03:27.067274
synthetic#147,system freeze during execution,system freeze during execution,critical,High,synthetic_severity,2023-12-10T15:03:27.067284,2023-12-25T15:03:27.067284
synthetic#148,data loss observed when saving file,data loss observed when saving file,major,High,synthetic_severity,2023-10-22T15:03:27.067294,2024-01-11T15:03:27.067294
synthetic#149,data loss observed when saving file,data loss observed when saving file,critical,High,synthetic_severity,2025-02-27T15:03:27.067304,2025-03-15T15:03:27.067304
synthetic#150,application crashes immediately on launch,application crashes immediately on launch,major,High,synthetic_severity,2024-05-11T15:03:27.067315,2024-07-29T15:03:27.067315
synthetic#151,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2023-02-09T15:03:27.067325,2023-04-12T15:03:27.067325
synthetic#152,application crashes immediately on launch,application crashes immediately on launch,critical,High,synthetic_severity,2024-01-17T15:03:27.067335,2024-03-12T15:03:27.067335
synthetic#153,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2025-02-16T15:03:27.067345,2025-04-16T15:03:27.067345
synthetic#154,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2023-01-26T15:03:27.067355,2023-04-05T15:03:27.067355
synthetic#155,minor layout bug in window rendering,minor layout bug in window rendering,minor,Low,synthetic_severity,2023-04-14T15:03:27.067365,2023-06-16T15:03:27.067365
synthetic#156,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2023-03-29T15:03:27.067375,2023-03-31T15:03:27.067375
synthetic#157,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2023-06-10T15:03:27.067384,2023-07-05T15:03:27.067384
synthetic#158,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2023-05-20T15:03:27.067394,2023-05-21T15:03:27.067394
synthetic#159,network failure causing cluster downtime,network failure causing cluster downtime,major,High,synthetic_severity,2023-04-25T15:03:27.067403,2023-06-12T15:03:27.067403
synthetic#160,documentation missing examples,documentation missing examples,minor,Low,synthetic_severity,2023-02-15T15:03:27.067415,2023-05-05T15:03:27.067415
synthetic#161,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2024-06-28T15:03:27.067425,2024-07-12T15:03:27.067425
synthetic#162,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2022-12-02T15:03:27.067435,2023-01-26T15:03:27.067435
synthetic#163,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2023-01-15T15:03:27.067445,2023-03-12T15:03:27.067445
synthetic#164,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2023-02-19T15:03:27.067457,2023-03-17T15:03:27.067457
synthetic#165,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2024-12-05T15:03:27.067467,2025-02-02T15:03:27.067467
synthetic#166,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-12-30T15:03:27.067476,2026-01-26T15:03:27.067476
synthetic#167,major performance degradation under high load,major performance degradation under high load,critical,High,synthetic_severity,2023-08-01T15:03:27.067486,2023-08-06T15:03:27.067486
synthetic#168,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2024-05-09T15:03:27.067496,2024-05-16T15:03:27.067496
synthetic#169,warning message displayed incorrectly,warning message displayed incorrectly,normal,Medium,synthetic_severity,2025-06-06T15:03:27.067506,2025-07-27T15:03:27.067506
synthetic#170,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2025-07-31T15:03:27.067516,2025-08-12T15:03:27.067516
synthetic#171,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2022-12-24T15:03:27.067526,2023-02-27T15:03:27.067526
synthetic#172,crash when accessing memory buffer,crash when accessing memory buffer,blocker,High,synthetic_severity,2023-10-07T15:03:27.067536,2023-12-07T15:03:27.067536
synthetic#173,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-11-02T15:03:27.067546,2025-11-27T15:03:27.067546
synthetic#174,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2024-04-02T15:03:27.067556,2024-05-27T15:03:27.067556
synthetic#175,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2023-01-17T15:03:27.067566,2023-01-17T15:03:27.067566
synthetic#176,documentation missing examples,documentation missing examples,trivial,Low,synthetic_severity,2023-11-15T15:03:27.067578,2023-12-16T15:03:27.067578
synthetic#177,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2025-09-25T15:03:27.067589,2025-11-05T15:03:27.067589
synthetic#178,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2023-08-29T15:03:27.067599,2023-10-21T15:03:27.067599
synthetic#179,outage impacting multiple users,outage impacting multiple users,major,High,synthetic_severity,2023-08-08T15:03:27.067609,2023-09-12T15:03:27.067609
synthetic#180,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2025-05-06T15:03:27.067621,2025-07-22T15:03:27.067621
synthetic#181,cosmetic styling inconsistency,cosmetic styling inconsistency,minor,Low,synthetic_severity,2026-01-09T15:03:27.067630,2026-03-29T15:03:27.067630
synthetic#182,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2024-03-16T15:03:27.067640,2024-04-21T15:03:27.067640
synthetic#183,data loss observed when saving file,data loss observed when saving file,blocker,High,synthetic_severity,2024-10-15T15:03:27.067650,2025-01-07T15:03:27.067650
synthetic#184,network failure causing cluster downtime,network failure causing cluster downtime,blocker,High,synthetic_severity,2024-08-13T15:03:27.067660,2024-09-28T15:03:27.067660
synthetic#185,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2024-09-08T15:03:27.067670,2024-10-02T15:03:27.067670
synthetic#186,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2024-04-26T15:03:27.067680,2024-05-27T15:03:27.067680
